Speaker1,Speaker2
mr . concannon . . . ?,nothing further your honor .
yeah .,you might not kill it .
yes .,you must be mad .
in other words you want to get laid ?,not exactly . . .
want me to ?,let it ring .
is that what you used to do ?,my days are not the old days genius .
alice you think you can leave ?,what s wrong ?
you win ! okay pull over .,but . . . i thought . . .
hello ?,hello bob it s me .
is that all you say ?,yeah .
so who left who ?,she left me .
kill me and have done with it .,kill you ? hardly that .
enjoy the day .,you too .
no .,fifth of scotch ?
good .,good .
sorry to interrupt . your dad sent me .,what for ?
you got a prob . . ., . . . lem too ?
i mr . lipnik ,kiss this man s feet ! !
surprise .,baby you didn t have to come .
gonna knock down a wall ?,might try that .
good . who ?,mel gordon .
no jean no money !,is this a fucking joke here ?
yeah . we did it .,so we did .
no .,i ain t got the money .
not unless you can fly .,come again ?
jabez jabez !,mary !
but it was just mine .,they had all the pieces they needed .
chick en .,you re not funny .
do you know where she is ?,she s out .
or would you rather i changed the subject ?,i think so .
this is sweet ! !,totally !
nancy s pretty good .,wonderful woman . we were very 
no baron ! i beg your pardon .,thank you .
do you know what he s saying ?,what who s saying ?
jack .,is jack your son ?
it s trash now like mine .,new lives begin !
mrs . frank ?,yeah .
well .,then what ?
you want to go ?,no . i want to draw .
won or lost ?,lost .
would you mind ?,okay . you win .
can i come in ?,are you crazy ? you ll get caught .
jesus christ jerry .,well technically i did what ya said .
stop .,what for ?
deception isn t something i personally consider sexy .,what s sexy ?
well ?,it looks . . . .foreign .
hey nick ?,huh ?
when ?,soon . one week .
the one with the ax ?,i don t know .
the boss called . arthur fell ill .,why are the shutters closed ?
the things that go on .,how do you like that one ?
what did he want ?,he asked how you are .
what the . . . ?,what happened ?
nothing s real .,excuse me ?
no ! bond !,bond !
hi .,my pleasure .
hello juliet . juliet take off her jacket .,oh what a nice outfit !
what ?,i remember my wife dying .
hello ted . you look well .,so do you .
i came here before .,when was that ?
what did she want ?,i did her hair .
yes . . .,but but but but . . .
hey jack join us .,no thanks .
what ?,come here 
yes .,i don t mean braze .
oh yeah ?,i ll be seeing you .
have a cigar .,thanks .
one bad car accident . . .,sailor ! ! !
can we see it from the back yard ?,you can get the general idea . . .
the number .,what ?
you can fuck off too .,you re taking a big chance .
any more ideas animal planet ?,you weren t helpin .
ludwig .,oskar .
cook school that did it .,how ?
have you ever had any mental illness ?,no sir .
yes ?,graham dalton .
 my god .,sorry honey he just happened to tag along .
i m still going in .,hold on .
and who rose may i ask is that ?,well it s billy .
i ll take the whole set .,excellent .
listen to me .,fuck you .
happy birthday lainey . do you like it ?,it s fantastic it s too much .
howdy miz lampert .,who invited you ?
yup .,just like our moms and teachers !
why would you do that ?,the poor whore s suffocating in the heat .
your uncle john stopped by to visit me .,oh really when ?
what s he like ?,like . . .ah . . .
ask away sweet man .,what became of the princess ?
but you can t stay you know that ?,didn t think i could .
he was . . . taken .,he was killed .
how much longer ?,until we find something .
you killed those other two .,not the same .
i did it .,and when did you do it ?
they shot us all kid .,what day is it ?
 you got your microwave , you got your sink 
you think that s wise ?,nothing s wise .
so mallory calls and they took off .,they actually apologized .
hi . did you have a nice swim ?,yeah . did you get some sleep ?
nice .,hm ? oh yes .
what are we playing for ?,clothes .
will you just tell me one thing ?,okay .
did you got through my pants ?,i might have a solution .
i love you .,that s nice . are you drunk ?
you re all clear .,roger .
your name sport ?,anything you say officer .
we gotta do something .,what ? what can we do ?
oh wait can you hold on one sec ?,sure .
you got one hour .,i m gonna need some money .
how much is there ?,don t count it .
well . . . who are those guys ?,what do they look like ? . . .
do you know where you are ?,i am in a room with lights .
fine i will .,fine you do it .
you seem fascinated by the stars .,you can see so many here .
well it s only april .,come on get going get going !
what do you think it is ?,i have no idea .
yes .,i was at home where were you ?
you re not leaving tomorrow . . ?,i think not .
ben ? ben ?,free your mind and return he will .
jane ?,yes .
where s della ? bring her here ?,why ? what for ?
d you talk to m ?,i got his machine .
well . . . ?,something like thirty six .
oh yeah ?,yeah .
if that s the way you want it .,that s the way i want it .
oh thank you . thank you !,thank you .
what are you talking about we gotta go !,i m not losing it again !
that s impossible .,why ?
a raft .,a blimp .
i want to believe you too .,what do you mean ?
sergeant !,what ?
he s an ass that s gonna try .,he thinks i m guilty doesn t he ?
that beynon s got a long arm .,what do you want for dinner ?
 you know better . . ., why did you come in today ?
oh ! oh my . uh princess leia !,quiet .
very early . dawn .,alright miss . . .
next time page me first .,okay .
again .,where are you staying ? the holiday inn ?
naw i already ate .,come on day try it . for moms .
what s that ?,the fucking new york times .
shut it up loretta .,oh christ it s true .
what is it ?,the tunnel .
so ?,so i don t know about horror .
no absinthe .,yes that 
because i know what it says .,maybe you re afraid of what it says .
listen to her singing .,i d like to begin .
do you have it ?,not so fast . who s that ?
you were trying to make me look bad .,didn t have to try very hard .
i didn t .,thank you .
i don t think you locked your door .,what do you want ?
then you should call .,what ?
share this with no one .,understood my lord .
a transmission ?,a voice transmission .
a ship ,it is clearly federation in origin captain .
where s bert ?,he went off someplace .
any dizziness ?,no .
i got like uh . . . .,i got uh . . . .
hey mick !,are you more satisfied now sexually austin ?
why ?,why what ?
take laddie .,huh ?
quiet !,what is it ?
fill er up .,you got it .
they didn t offer you the job yet .,i want your feelings about it .
which one for tomorrow ?,the blue .
seeing you again . . . .,yeah ?
yeah ?,you re a writer you said .
some people prefer it .,no . . . it s wrong .
strange !,come . let s begin .
don t you throw up on boat ?,if you like .
well can we ,a hundred and eighty dollars ? !
she s changed .,oh yes .
pete . . . don t . . .,how d it happen alice ?
forget it really . i ll survive .,i want him with me .
everyone loves the girl next door particularly farley .,so it seems .
welsh .,sean connery .
no onions ?,they make you fart .
i hope you like it .,it looks wonderful . and so do you .
then give me your word you won t .,this is absurd .
don t hurt him .,where s the nearest hospital ?
fuck you .,anytime . anywhere .
morning .,you people looking for work ?
a girl of some spirit your daughter .,a match for your son i think .
what does clifford say ?,right now we have to be practical .
what ?,i gotta piss real bad .
the guy came right at us !,you turned up a one way street !
he s coming right over .,coming here ?
boy beautiful day hey thomas ?,sure great if you ain t married .
oh hi . . .,i m sorry . . .
are they out now ?,yes don t worry .
you re a pimp ?,i m telling you i am joe .
are we leaving ?,yes you are .
when do i raise the bet ?,i don t know .
so how do i start ?,the game will guide you .
it s great to hear from you .,well you re gonna be seein me shortly .
you mean until you showed up ?,you re not still pissed ?
babe what happened here ? look at you .,good evening vincent .
yes i m right ?,right .
yeah .,it s so small .
so what do you need fergus ?,need to go across the water .
get out .,but this is my apartment .
get out of here !,don t duff 
it s what i do .,you re so funny . . .
and he still sits there ?,every day .
i don t recall .,more than three less than thirty three permanently ?
it is only ours you can know .,she loves me thomas !
he s the devil s child . . .,we ll all go crazy . . .
dammit i m so sick of this .,i know .
what do you say toby ? ,i m cool 
call .,shut up .
all i did was walk out with it .,and you did that to protect my interest ?
good morning mr . brandon .,morning . any calls ?
ready frankie .,let s go .
i wouldn t do that ! ! !,it s a bomb .
you . like the papers all say .,pretty terrible shot .
oh just like the president .,just like the president .
miss ?,yes ?
i can look after myself !,they were taking you away .
pretty good thirty u miles u an hour ,no . u knots u !
what i did to joey .,you . . . .
because i wasn t worthy .,to be a mother ?
i gotta open the gate .,drive through it !
oh that noise ! yes he certainly did .,we moved rooms because of him .
do you know a marie ?,no . . . do you ?
talk to me artie .,kelly van ryan . . .
but the police , there s no time 
sort of .,careful .
what the hell are you doing ? ! ?,he s after us again !
beverly come in .,you re working late .
all your life .,all my life !
i believe you .,you do ?
you ve seen enough .,you know i don t feel well .
